Sr_No,Application Name,Customer Initiated Transactions in Volume (Mn),Customer Initiated Transactions in Value (Cr),B2C Transactions in Volume (Mn),B2C Transactions in Value (Cr),B2B Transactions in Volume (Mn),B2B Transactions in Value (Cr),On-us Transactions in Volume (Mn),On-us Transactions in Value (Cr),Total in Volume (Mn),Total in Value (Cr),Date
52061,Karur Vysya Bank Apps,0.05,17.68,0,0,0,0,0,0,0.05,17.68,Mar-24
52062,Equitas Small Finance Bank Apps,0.04,26.62,0,0,0,0,0,0,0.04,26.62,Mar-24
52063,MakeMyTrip,0.03,18.75,0,0,0,0,0,0,0.03,18.75,Mar-24
52064,Go Niyo,0.03,12.86,0,0,0,0,0,0,0.03,12.86,Mar-24
52065,Allahabad Bank Apps,0.03,6.32,0,0,0,0,0,0,0.03,6.32,Mar-24
52066,Other Apps,1.07,109.12,0,0,0.14,3.94,0,0,1.21,113.06,Mar-24
52001,PhonePe,6140.97,"9,67,467.18",0,0,0,0,0,0,6140.97,"9,67,467.18",Feb-24
52002,Google Pay,4755.4,"6,71,539.96",0,0,0,0,0,0,4755.4,"6,71,539.96",Feb-24
52067,Paytm Payments Bank App,1332.57,"1,51,044.10",0.17,0.09,0.58,1032.58,72.36,"13,291.98",1405.69,"1,65,368.76",Feb-24
52004,Cred,118.77,"40,525.56",0,0,0,0,0,0,118.77,"40,525.56",Feb-24
52005,Axis Bank Apps,12.43,"2,855.72",71.59,6819.21,0.01,2.07,0,0,84.04,"9,677.00",Feb-24
52006,Amazon Pay,63.53,"6,611.88",0,0,0,0,0,0,63.53,"6,611.88",Feb-24
52012,BHIM,58.84,"9,486.38",0,0,0,0,0,0,58.84,"9,486.38",Feb-24
52010,HDFC Bank Apps,28.7,"6,569.78",24.11,72.32,0,0.13,0,0,52.81,"6,642.24",Feb-24
52007,ICICI Bank Apps,30.66,"10,972.99",4.49,437.57,5.99,9189.03,0,0,41.14,"20,599.59",Feb-24
52068,FAM,40.41,459.81,0,0,0,0,0,0,40.41,459.81,Feb-24
52009,Kotak Mahindra Bank Apps,33.55,"5,389.33",0,0,0,0,0,0,33.55,"5,389.33",Feb-24
52011,WhatsApp,28.48,"2,301.72",0,0,0,0,0,0,28.48,"2,301.72",Feb-24
52013,Yes Bank Apps,22.67,"12,060.81",0,0,0.35,37.8,0,0,23.02,"12,098.61",Feb-24
52015,Bajaj Finserv,20.06,"3,045.93",0,0,0,0,0,0,20.06,"3,045.93",Feb-24
52014,Airtel Payments Bank Apps,14.98,"1,086.87",0,0,0,0.18,0,0.07,14.98,"1,087.11",Feb-24
52019,State Bank of India Apps,6.59,"2,476.42",0,0,0.04,1.14,0,0,6.63,"2,477.56",Feb-24
52016,Mobikwik,6.04,"1,793.27",0,0,0,0,0,0,6.04,"1,793.27",Feb-24
52018,Groww,5.98,"3,102.61",0,0,0,0,0,0,5.98,"3,102.61",Feb-24
52021,Samsung Pay,5.98,520.06,0,0,0,0,0,0,5.98,520.06,Feb-24
52020,IDFC Bank Apps,5.98,"1,543.55",0,0,0,0,0,0,5.98,"1,543.55",Feb-24
52017,India Post Payments Bank Apps,5.69,634.79,0,0,0,0,0,0,5.69,634.79,Feb-24
52022,Jupiter,5.32,699.58,0,0,0,0,0,0,5.32,699.58,Feb-24
52048,Standard Chartered Bank Apps,3.4,687.84,0,0,0.99,942.77,0,0,4.4,"1,630.61",Feb-24
