Sr_No,Application Name,Customer Initiated Transactions in Volume (Mn),Customer Initiated Transactions in Value (Cr),B2C Transactions in Volume (Mn),B2C Transactions in Value (Cr),B2B Transactions in Volume (Mn),B2B Transactions in Value (Cr),On-us Transactions in Volume (Mn),On-us Transactions in Value (Cr),Total in Volume (Mn),Total in Value (Cr),Date
52058,City Union Bank Apps,0.07,22.76,0,0,0,0,0,0,0.07,22.76,Dec-23
52053,DIGIKHATA,0.07,25.8,0,0,0,0,0,0,0.07,25.8,Dec-23
52080,PAYTMWALLET,0.07,4.53,0,0,0,0,0,0,0.07,4.53,Dec-23
52057,Citi Bank Apps,0.07,70.44,0,0,0,0,0,0,0.07,70.44,Dec-23
52082,Fave,0.06,4.28,0,0,0,0,0,0,0.06,4.28,Dec-23
52069,FIFEDERAL,0.05,7.12,0,0,0,0,0,0,0.05,7.12,Dec-23
52060,Bank of Maharashtra Apps,0.04,8.1,0,0,0,0,0,0,0.04,8.1,Dec-23
52063,MakeMyTrip,0.04,22.2,0,0,0,0,0,0,0.04,22.2,Dec-23
52059,NSDL Payments Bank Apps,0.04,6.36,0,0,0,0,0,0,0.04,6.36,Dec-23
52061,Karur Vysya Bank Apps,0.04,13.69,0,0,0,0,0,0,0.04,13.69,Dec-23
52062,Equitas Small Finance Bank Apps,0.03,21.86,0,0,0,0,0,0,0.03,21.86,Dec-23
52065,Allahabad Bank Apps,0.03,7.01,0,0,0,0,0,0,0.03,7.01,Dec-23
52049,DHANI,0.03,2.01,0,0,0,0,0,0,0.03,2.01,Dec-23
52083,CBDC Apps,0.72,25.12,0,0,0.05,0.8,0,0,0.77,25.91,Dec-23
52084,Other,0.12,38.33,0,0,0,0,0,0,0.12,38.33,Dec-23
52001,PhonePe,5281.68,"8,54,939.06",0,0,0,0,0,0,5281.68,"8,54,939.06",Nov-23
52002,Google Pay,4099.08,"5,99,748.64",0,0,0,0,0,0,4099.08,"5,99,748.64",Nov-23
52067,Paytm Payments Bank App,1360.45,"1,66,257.62",4.68,8,0.73,1314.75,113.61,23569.92,1479.47,"1,91,150.29",Nov-23
52004,Cred,93.31,"34,541.32",0,0,0,0,0,0,93.31,"34,541.32",Nov-23
52005,Axis Bank Apps,11.52,"2,305.08",54.43,1453.3,0.07,7.27,0,0,66.02,"3,765.68",Nov-23
52006,Amazon Pay,48.62,"5,737.75",0,0,0,0,0,0,48.62,"5,737.75",Nov-23
52007,ICICI Bank Apps,27.41,"11,134.92",4.79,456.4,8.55,12088.53,0,0,40.75,"23,679.82",Nov-23
52008,Fampay,28.43,336.92,0,0,0,0,0,0,28.43,336.92,Nov-23
52013,Yes Bank Apps,25.77,"11,004.32",0,0,0.28,66.93,0,0,26.06,"11,071.25",Nov-23
52009,Kotak Mahindra Bank Apps,23.88,"4,341.61",0,0,0,0,0,0,23.88,"4,341.61",Nov-23
52012,BHIM,23.49,"7,957.46",0,0,0,0,0,0,23.49,"7,957.46",Nov-23
52011,WhatsApp,22.29,"1,917.47",0,0,0,0,0,0,22.29,"1,917.47",Nov-23
52010,HDFC Bank Apps,20.68,"5,511.35",0,0,0,0,0,0,20.68,"5,511.35",Nov-23
52015,Bajaj Finserv,15.95,"2,406.06",0,0,0,0,0,0,15.95,"2,406.06",Nov-23
52014,Airtel Payments Bank Apps,11.06,795.35,0,0,0,0,0.28,31.71,11.34,827.06,Nov-23
52021,Samsung Pay,5.84,557.36,0,0,0,0,0,0,5.84,557.36,Nov-23
52025,Federal Bank Apps,5.51,698.05,0,0,0,0.01,0,0,5.51,698.06,Nov-23
52019,State Bank of India Apps,5.36,"2,162.43",0,0,0.02,0.66,0,0,5.38,"2,163.09",Nov-23
52017,India Post Payments Bank Apps,5.27,532.66,0,0,0,0,0,0,5.27,532.66,Nov-23
52020,IDFC Bank Apps,4.96,"1,306.91",0,0,0,0,0,0,4.96,"1,306.91",Nov-23
52018,Groww,4.59,"2,528.81",0,0,0,0,0,0,4.59,"2,528.81",Nov-23
52016,Mobikwik,4.52,"1,467.04",0,0,0,0,0,0,4.52,"1,467.04",Nov-23
52048,Standard Chartered Bank Apps,3.82,262.18,0,0,0.57,244.75,0,0,4.39,506.93,Nov-23
52022,Jupiter,4.29,577.81,0,0,0,0,0,0,4.29,577.81,Nov-23
52024,Deutsche Bank Apps,3.26,268.83,0,0,0,0.02,0,0,3.26,268.85,Nov-23
52026,Canara Bank Apps,2.29,667.04,0,0,0,0,0,0,2.29,667.04,Nov-23
52031,RBL Bank Apps,1.85,621.67,0,0,0.37,18.3,0,0,2.23,639.97,Nov-23
52028,slice,1.58,359.47,0,0,0,0,0,0,1.58,359.47,Nov-23
52029,Jio Payments Bank Apps,1.26,117.05,0,0,0,0,0,0,1.26,117.05,Nov-23
52035,Omnicard,1.09,37.85,0,0,0,0,0,0,1.09,37.85,Nov-23
52032,Punjab National Bank Apps,1.04,214.29,0,0,0,0,0,0,1.04,214.29,Nov-23
52034,Union Bank Apps,0.95,376.07,0,0,0,0,0,0,0.95,376.07,Nov-23
52036,Bank of Baroda Apps,0.95,412.54,0,0,0,7.13,0,0,0.95,419.67,Nov-23
52044,IndusInd Bank Apps,0.9,193.07,0,0,0,0,0,0,0.9,193.07,Nov-23
52039,GoKiwi,0.76,93.99,0,0,0,0,0,0,0.76,93.99,Nov-23
52028,SLICE,0.69,27.42,0,0,0,0,0,0,0.69,27.42,Nov-23
52051,Karnataka Bank Apps,0.68,138.91,0,0,0,0.01,0,0,0.68,138.92,Nov-23
52038,AU Small Finance Bank Apps,0.66,239.22,0,0,0,0,0,0,0.66,239.22,Nov-23
52027,Navi,0.6,37.44,0,0,0,0,0,0,0.6,37.44,Nov-23
52040,DBS Digibank Apps,0.52,196.26,0,0,0,0.61,0,0,0.52,196.87,Nov-23
52037,Central Bank of India Apps,0.51,117.17,0,0,0,0.27,0,0,0.51,117.44,Nov-23
52030,Indian Bank Apps,0.36,89.84,0,0,0,4.1,0,0,0.36,93.94,Nov-23
52043,Fino Payments bank Apps,0.27,25,0,0,0,0,0,0,0.27,25,Nov-23
52050,UCO Bank Apps,0.26,81.93,0,0,0,0,0,0,0.26,81.93,Nov-23
52081,Bajaj Pay Wallet,0.26,62.02,0,0,0,0,0,0,0.26,62.02,Nov-23
52042,South Indian Bank Apps,0.25,74.07,0,0,0,0,0,0,0.25,74.07,Nov-23
52047,Bank of India Apps,0.24,88.76,0,0,0,0,0,0,0.24,88.76,Nov-23
52045,HSBC Bank Apps,0.18,110.45,0,0.1,0,0,0,0,0.18,110.56,Nov-23
52079,INDIE - Indus Ind,0.16,30.77,0,0,0,0,0,0,0.16,30.77,Nov-23
52055,Tamilnad Mercantile Bank Apps,0.1,29.13,0,0,0,0,0,0,0.1,29.13,Nov-23
52054,Indian Overseas Bank Apps,0.09,24.83,0,0,0,0,0,0,0.09,24.83,Nov-23
52082,Fave,0.09,8.29,0,0,0,0,0,0,0.09,8.29,Nov-23
52041,Shriram One,0.09,10.06,0,0,0,0,0,0,0.09,10.06,Nov-23
52056,Ultracash,0.08,5.5,0,0,0,0,0,0,0.08,5.5,Nov-23
52046,TataNeu,0.08,11.36,0,0,0,0,0,0,0.08,11.36,Nov-23
52058,City Union Bank Apps,0.07,22.07,0,0,0,0,0,0,0.07,22.07,Nov-23
52075,IDBI Bank Apps,0.07,35.22,0,0,0,0,0,0,0.07,35.22,Nov-23
52057,Citi Bank Apps,0.07,60.24,0,0,0,0,0,0,0.07,60.24,Nov-23
52016,Mobikwik,0.06,8.71,0,0,0,0,0,0,0.06,8.71,Nov-23
52053,DIGIKHATA,0.05,20.12,0,0,0,0,0,0,0.05,20.12,Nov-23
52060,Bank of Maharashtra Apps,0.04,8.79,0,0,0,0,0,0,0.04,8.79,Nov-23
52063,MakeMyTrip,0.04,22.58,0,0,0,0,0,0,0.04,22.58,Nov-23
52061,Karur Vysya Bank Apps,0.04,14.83,0,0,0,0,0,0,0.04,14.83,Nov-23
52033,Timepay,0.04,1.2,0,0,0,0,0,0,0.04,1.2,Nov-23
52059,NSDL Payments Bank Apps,0.03,5.89,0,0,0,0,0,0,0.03,5.89,Nov-23
52062,Equitas Small Finance Bank Apps,0.03,19.96,0,0,0,0,0,0,0.03,19.96,Nov-23
52085,Punjab Sind Bank Apps,0.03,14.19,0,0,0,0,0,0,0.03,14.19,Nov-23
52065,Allahabad Bank Apps,0.03,6.93,0,0,0,0,0,0,0.03,6.93,Nov-23
52083,CBDC Apps,0.2,8.49,0,0,0.01,0.46,0,0,0.22,8.95,Nov-23
52086,Others,0.11,26.81,0,0,0,0,0,0,0.11,26.81,Nov-23
52014,Airtel Payments Bank Apps,11.32,778.26,0,0,0,0,0.31,32.39,11.62,810.65,Oct-23
52065,Allahabad Bank Apps,0.03,7.3,0,0,0,0,0,0,0.03,7.3,Oct-23
52006,Amazon Pay,54.39,"6,297.17",0,0,0,0,0,0,54.39,"6,297.17",Oct-23
52038,AU Small Finance Bank Apps,0.71,235.99,0,0,0,0,0,0,0.71,235.99,Oct-23
52005,Axis Bank Apps,12.1,"2,202.41",62.24,"2,721.47",0.08,7.63,0,0,74.42,"4,931.50",Oct-23
52015,Bajaj Finserv,14.19,"2,373.17",0,0,0,0,0,0,14.19,"2,373.17",Oct-23
52087,Bajaj Finserv PPI,0.23,48.79,0,0,0,0,0,0,0.23,48.79,Oct-23
52036,Bank of Baroda Apps,0.93,393.21,0,0,0,4.28,0,0,0.93,397.49,Oct-23
52047,Bank of India Apps,0.27,93.46,0,0,0,0,0,0,0.27,93.46,Oct-23
52060,Bank of Maharashtra Apps,0.06,10.85,0,0,0,0,0,0,0.06,10.85,Oct-23
52012,BHIM,25.74,"8,174.71",0,0,0,0,0,0,25.74,"8,174.71",Oct-23
52026,Canara Bank Apps,2.21,665.24,0,0,0.01,0.19,0,0,2.22,665.43,Oct-23
52037,Central Bank of India Apps,0.52,114.69,0,0,0,0.24,0,0,0.52,114.94,Oct-23
52057,Citi Bank Apps,0.08,66.07,0,0,0,0,0,0,0.08,66.07,Oct-23
52058,City Union Bank Apps,0.07,21.55,0,0,0,0,0,0,0.07,21.55,Oct-23
52004,Cred,94.52,"34,691.49",0,0,0,0,0,0,94.52,"34,691.49",Oct-23
52040,DBS Digibank Apps,0.5,197.14,0,0,0,0.56,0,0,0.51,197.7,Oct-23
52024,Deutsche Bank Apps,2.37,350.45,0,0,0,0.02,0,0,2.37,350.47,Oct-23
52088,Dhani PPI,0.02,1.49,0,0,0,0,0,0,0.02,1.49,Oct-23
52089,Digikhata PPI,0.04,15.33,0,0,0,0,0,0,0.04,15.33,Oct-23
52062,Equitas Small Finance Bank Apps,0.03,21.65,0,0,0,0,0,0,0.03,21.65,Oct-23
52090,Fampay PPI,27.54,314.13,0,0,0,0,0,0,27.54,314.13,Oct-23
52082,Fave,0.11,10.38,0,0,0,0,0,0,0.11,10.38,Oct-23
52025,Federal Bank Apps,5.89,720.68,0,0,0,0,0,0,5.89,720.68,Oct-23
52043,Fino Payments bank Apps,0.27,20.01,0,0,0,0,0,0,0.27,20.01,Oct-23
52039,GoKiwi,0.76,79.21,0,0,0,0,0,0,0.76,79.21,Oct-23
52002,Google Pay,"4,139.92","5,89,299.18",0,0,0,0,0,0,"4,139.92","5,89,299.18",Oct-23
52018,Groww,5.89,"3,354.83",0,0,0,0,0,0,5.89,"3,354.83",Oct-23
52010,HDFC Bank Apps,21.35,"5,453.76",0,0,0,0,0,0,21.35,"5,453.76",Oct-23
52045,HSBC Bank Apps,0.18,105.98,0,0.08,0,0,0,0,0.18,106.07,Oct-23
52007,ICICI Bank Apps,27.54,"11,273.30",4.82,437.19,6.52,"9,607.29",0,0,38.88,"21,317.78",Oct-23
52075,IDBI Bank Apps,0.07,36.89,0,0,0,0,0,0,0.07,36.89,Oct-23
52020,IDFC Bank Apps,5.26,"1,312.45",0,0,0,0.01,0,0,5.26,"1,312.46",Oct-23
52017,India Post Payments Bank Apps,5.54,464.95,0,0,0,0,0,0,5.54,464.95,Oct-23
52030,Indian Bank Apps,0.36,90.37,0,0,0,20.56,0,0,0.36,110.93,Oct-23
52054,Indian Overseas Bank Apps,0.09,23.85,0,0,0,0,0,0,0.09,23.85,Oct-23
52044,IndusInd Bank Apps,1.07,217.98,0,0,0,0,0,0,1.07,217.98,Oct-23
52091,Jammu and Kashmir Bank Apps,0.01,3.39,0,0,0,0,0,0,0.01,3.39,Oct-23
52029,Jio Payments Bank Apps,1.35,112.84,0,0,0,0,0,0,1.35,112.84,Oct-23
52022,Jupiter,4.45,571.06,0,0,0,0,0,0,4.45,571.06,Oct-23
52051,Karnataka Bank Apps,0.69,138.58,0,0,0,0,0,0,0.69,138.58,Oct-23
52061,Karur Vysya Bank Apps,0.04,16.95,0,0,0,0,0,0,0.04,16.95,Oct-23
52009,Kotak Mahindra Bank Apps,23.83,"4,205.76",0,0,0,0,0,0,23.83,"4,205.77",Oct-23
52063,MakeMyTrip,0.04,21.47,0,0,0,0,0,0,0.04,21.47,Oct-23
52016,Mobikwik,4.43,"1,378.88",0,0,0,0,0,0,4.43,"1,378.88",Oct-23
52092,Mobikwik PPI,0.02,2.15,0,0,0,0,0,0,0.02,2.15,Oct-23
52027,Navi,0.53,33.92,0,0,0,0,0,0,0.53,33.92,Oct-23
52059,NSDL Payments Bank Apps,0.04,5.79,0,0,0,0,0,0,0.04,5.79,Oct-23
52093,Omnicard PPI,1.2,45.9,0,0,0,0,0,0,1.2,45.9,Oct-23
52067,Paytm Payments Bank App,"1,417.81","1,67,819.30",3.36,6.88,0.74,"1,244.89",122.51,"23,903.73","1,544.41","1,92,974.80",Oct-23
52001,PhonePe,"5,337.96","8,38,371.70",0,0,0,0,0,0,"5,337.96","8,38,371.70",Oct-23
52032,Punjab National Bank Apps,0.99,211.45,0,0,0,0,0,0,0.99,211.45,Oct-23
52085,Punjab Sind Bank Apps,0.03,12.94,0,0,0,0,0,0,0.03,12.94,Oct-23
52031,RBL Bank Apps,1.87,642.63,0,0.02,0.27,16.09,0,0,2.14,658.74,Oct-23
52021,Samsung Pay,6.17,562.28,0,0,0,0,0,0,6.17,562.28,Oct-23
52041,Shriram One,0.15,9.43,0,0,0,0,0,0,0.15,9.43,Oct-23
52028,slice,1.33,340.4,0,0,0,0,0,0,1.33,340.4,Oct-23
52094,slice PPI,0.33,18.41,0,0,0,0,0,0,0.33,18.41,Oct-23
52042,South Indian Bank Apps,0.22,69.36,0,0,0,0,0,0,0.22,69.36,Oct-23
52048,Standard Chartered Bank Apps,4.41,240.59,0,0,2.61,"1,462.00",0,0,7.02,"1,702.59",Oct-23
52019,State Bank of India Apps,5.51,"2,185.45",0,0,0.02,0.6,0,0,5.53,"2,186.05",Oct-23
52055,Tamilnad Mercantile Bank Apps,0.1,29.14,0,0,0,0,0,0,0.1,29.14,Oct-23
52046,TataNeu,0.09,14.51,0,0,0,0,0,0,0.09,14.51,Oct-23
52050,UCO Bank Apps,0.28,85.33,0,0,0,0,0,0,0.28,85.33,Oct-23
52056,Ultracash,0.09,5.6,0,0,0,0,0,0,0.09,5.6,Oct-23
52034,Union Bank Apps,0.89,360.41,0,0,0,0,0,0,0.89,360.42,Oct-23
52095,Utkarsh Small Finance Bank Apps,0.02,7.44,0,0,0,0,0,0,0.02,7.44,Oct-23
52011,WhatsApp,22.72,"1,903.10",0,0,0,0,0,0,22.72,"1,903.10",Oct-23
52013,Yes Bank Apps,27.97,"11,183.85",0,0,0.3,75.25,0,0,28.27,"11,259.10",Oct-23
52086,Others,0.06,14.29,0,0,0,0,0,0,0.06,14.29,Oct-23
52001,PhonePe,"4,972.81","7,74,845.98",0,0,0,0,0,0,"4,972.81","7,74,845.98",Sep-23
52002,Google Pay,"3,780.89","5,41,624.06",0,0,0,0,0,0,"3,780.89","5,41,624.06",Sep-23
52067,Paytm Payments Bank App,"1,333.38","1,53,708.60",3.47,8.06,0.58,935.71,114.56,"22,213.09","1,451.99","1,76,865.46",Sep-23
52004,Cred,86.5,"31,558.20",0,0,0,0,0,0,86.5,"31,558.20",Sep-23
52005,Axis Bank Apps,8.93,"1,721.75",59.77,"1,856.50",0.06,6.66,0,0,68.76,"3,584.91",Sep-23
52006,Amazon Pay,48.78,"5,386.29",0,0,0,0,0,0,48.78,"5,386.29",Sep-23
52007,ICICI Bank Apps,25.9,"9,874.70",4.05,359.88,7.58,"9,818.34",0,0,37.52,"20,052.91",Sep-23
52013,Yes Bank Apps,28.09,"10,794.85",0,0,0.41,53.11,0,0,28.49,"10,847.96",Sep-23
52012,BHIM,24.15,"8,005.18",0,0,0,0,0,0,24.15,"8,005.18",Sep-23
52068,FAM,22.88,263.37,0,0,0,0,0,0,22.88,263.37,Sep-23
52009,Kotak Mahindra Bank Apps,21.57,"3,737.25",0,0,0,0.01,0,0,21.57,"3,737.26",Sep-23
52011,WhatsApp,20.55,"1,732.15",0,0,0,0,0,0,20.55,"1,732.15",Sep-23
52010,HDFC Bank Apps,18.87,"4,739.38",0,0,0,0,0,0,18.87,"4,739.39",Sep-23
52015,Bajaj Finserv,14.14,"2,069.98",0,0,0,0,0,0,14.14,"2,069.98",Sep-23
52014,Airtel Payments Bank Apps,10.45,747.05,0,0,0,0.04,0,0.12,10.46,747.21,Sep-23
52018,Groww,6.5,"3,596.95",0,0,0,0,0,0,6.5,"3,596.95",Sep-23
52021,Samsung Pay,5.81,528.2,0,0,0,0,0,0,5.81,528.2,Sep-23
52025,Federal Bank Apps,5.54,692.03,0,0,0,0,0,0,5.54,692.03,Sep-23
52019,State Bank of India Apps,5.4,"2,130.26",0,0,0.02,0.64,0,0,5.42,"2,130.89",Sep-23
52017,India Post Payments Bank Apps,5.28,447.37,0,0,0,0,0,0,5.28,447.37,Sep-23
52020,IDFC Bank Apps,4.42,"1,109.67",0,0,0,0,0,0,4.42,"1,109.67",Sep-23
52022,Jupiter,4.05,529.64,0,0,0,0,0,0,4.05,529.64,Sep-23
52016,Mobikwik,3.92,"1,182.65",0,0,0,0,0,0,3.92,"1,182.65",Sep-23
52048,Standard Chartered Bank Apps,1.72,148.27,0,0,0.31,182.94,0,0,2.03,331.21,Sep-23
52024,Deutsche Bank Apps,1.93,315.27,0,0,0,0.02,0,0,1.93,315.29,Sep-23
52026,Canara Bank Apps,1.89,569.48,0,0,0,0,0,0,1.89,569.48,Sep-23
52031,RBL Bank Apps,1.34,565.87,0,0,0.26,9.74,0,0,1.6,575.61,Sep-23
52029,Jio Payments Bank Apps,1.44,108.84,0,0,0,0,0,0,1.44,108.84,Sep-23
52036,Bank of Baroda Apps,1.22,470.91,0,0,0,5.52,0,0,1.22,476.43,Sep-23
52028,slice,1.06,310.9,0,0,0,0,0,0,1.06,310.9,Sep-23
52032,Punjab National Bank Apps,1,197.93,0,0,0,0,0,0,1,197.93,Sep-23
52096,OMNI,0.98,36.12,0,0,0,0,0,0,0.98,36.12,Sep-23
52044,IndusInd Bank Apps,0.89,182.26,0,0,0,0,0,0,0.89,182.26,Sep-23
52034,Union Bank Apps,0.87,324.39,0,0,0,0,0,0,0.87,324.39,Sep-23
52038,AU Small Finance Bank Apps,0.66,214.25,0,0,0,0,0,0,0.66,214.25,Sep-23
52097,GOAXB,0.64,74.94,0,0,0,0,0,0,0.64,74.94,Sep-23
52051,Karnataka Bank Apps,0.62,125.7,0,0,0,0,0,0,0.62,125.7,Sep-23
52040,DBS Digibank Apps,0.45,178.89,0,0,0,0.53,0,0,0.45,179.42,Sep-23
52037,Central Bank of India Apps,0.4,94.84,0,0,0,0.38,0,0,0.4,95.22,Sep-23
52050,UCO Bank Apps,0.37,127.06,0,0,0,0,0,0,0.37,127.06,Sep-23
52030,Indian Bank Apps,0.32,89.16,0,0,0.01,60.16,0,0,0.33,149.32,Sep-23
52047,Bank of India Apps,0.28,86.17,0,0,0,0,0,0,0.28,86.17,Sep-23
52098,NAVIAXIS,0.27,17.75,0,0,0,0,0,0,0.27,17.75,Sep-23
52042,South Indian Bank Apps,0.26,72.9,0,0,0,0,0,0,0.26,72.9,Sep-23
52043,Fino Payments bank Apps,0.22,15.99,0,0,0,0,0,0,0.22,15.99,Sep-23
52070,BPAYWALLET,0.19,42.31,0,0,0,0,0,0,0.19,42.31,Sep-23
52045,HSBC Bank Apps,0.16,101.08,0,0.12,0,0,0,0,0.16,101.2,Sep-23
52055,Tamilnad Mercantile Bank Apps,0.1,26.99,0,0,0,0,0,0,0.1,26.99,Sep-23
52046,TataNeu,0.09,14.82,0,0,0,0,0,0,0.09,14.82,Sep-23
52082,Fave,0.09,6.34,0,0,0,0,0,0,0.09,6.34,Sep-23
52056,Ultracash,0.08,4.77,0,0,0,0,0,0,0.08,4.77,Sep-23
52057,Citi Bank Apps,0.08,61.34,0,0,0,0,0,0,0.08,61.34,Sep-23
52099,INDIE,0.07,16.09,0,0,0,0,0,0,0.07,16.09,Sep-23
52054,Indian Overseas Bank Apps,0.07,19.12,0,0,0,0,0,0,0.07,19.12,Sep-23
52058,City Union Bank Apps,0.07,20.6,0,0,0,0,0,0,0.07,20.6,Sep-23
52075,IDBI Bank Apps,0.06,32.31,0,0,0,0,0,0,0.06,32.31,Sep-23
52060,Bank of Maharashtra Apps,0.05,8.55,0,0,0,0,0,0,0.05,8.55,Sep-23
52061,Karur Vysya Bank Apps,0.04,15.87,0,0,0,0,0,0,0.04,15.87,Sep-23
52063,MakeMyTrip,0.04,21.32,0,0,0,0,0,0,0.04,21.32,Sep-23
52100,SHRIRAM,0.03,2.8,0,0,0,0,0,0,0.03,2.8,Sep-23
52059,NSDL Payments Bank Apps,0.03,5.78,0,0,0,0,0,0,0.03,5.78,Sep-23
52062,Equitas Small Finance Bank Apps,0.03,19.39,0,0,0,0,0,0,0.03,19.39,Sep-23
52053,DIGIKHATA,0.03,10.8,0,0,0,0,0,0,0.03,10.8,Sep-23
52028,SLICE,0.03,3.8,0,0,0,0,0,0,0.03,3.8,Sep-23
52065,Allahabad Bank Apps,0.03,7.15,0,0,0,0,0,0,0.03,7.15,Sep-23
52085,Punjab Sind Bank Apps,0.03,12.32,0,0,0,0,0,0,0.03,12.32,Sep-23
52049,DHANI,0.02,2.58,0,0,0,0,0,0,0.02,2.58,Sep-23
52095,Utkarsh Small Finance Bank Apps,0.02,6.63,0,0,0,0,0,0,0.02,6.63,Sep-23
52091,Jammu and Kashmir Bank Apps,0.01,2.56,0,0,0,0,0,0,0.01,2.56,Sep-23
52101,Dhanlaxmi Bank Apps,0.01,3.46,0,0,0,0,0,0,0.01,3.46,Sep-23
52102,GoIbibo,0.01,2.34,0,0,0,0,0,0,0.01,2.34,Sep-23
52086,Others,0.06,10.18,0,0,0,0.06,0,0,0.06,10.25,Sep-23
52001,PhonePe,4987.33,775265.57,0,0,0,0,0,0,4987.33,775265.57,Aug-23
52002,Google Pay,3767.68,538113.42,0,0,0,0,0,0,3767.68,538113.42,Aug-23
52067,Paytm Payments Bank App,1363.05,153577.58,1.86,5.06,0.59,939,119.32,22282.87,1484.82,176804.51,Aug-23
52004,Cred,85.13,31926.2,0,0,0,0,0,0,85.13,31926.2,Aug-23
52005,Axis Bank Apps,9.37,1753.27,60,1275.96,0.05,7.88,0,0,69.43,3037.11,Aug-23
52006,Amazon Pay,54.02,5836.99,0,0,0,0,0,0,54.02,5836.99,Aug-23
52007,ICICI Bank Apps,25.85,9721.96,4.29,333.25,8.42,10943.9,0,0,38.57,20999.12,Aug-23
52013,Yes Bank Apps,28.51,11154.68,0,0,0.44,100.09,0,0,28.94,11254.77,Aug-23
52012,BHIM,24.61,7793.58,0,0,0,0,0,0,24.61,7793.58,Aug-23
52009,Kotak Mahindra Bank Apps,21.16,3675.16,0,0,0.01,2.88,0,0,21.17,3678.04,Aug-23
52068,FAM,20.27,235.89,0,0,0,0,0,0,20.27,235.89,Aug-23
52011,WhatsApp,19.7,1677.53,0,0,0,0,0,0,19.7,1677.53,Aug-23
52010,HDFC Bank Apps,18.94,4671.76,0,0,0,0,0,0,18.94,4671.76,Aug-23
52015,Bajaj Finserv,13.22,1995.11,0,0,0,0,0,0,13.22,1995.11,Aug-23
52014,Airtel Payments Bank Apps,10.2,699.21,0,0,0,0,0,0.06,10.2,699.27,Aug-23
52021,Samsung Pay,6,538.48,0,0,0,0,0,0,6,538.48,Aug-23
52025,Federal Bank Apps,5.7,700.65,0,0,0,0.01,0,0,5.7,700.66,Aug-23
52017,India Post Payments Bank Apps,5.56,498.37,0,0,0,0,0,0,5.56,498.37,Aug-23
52019,State Bank of India Apps,5.36,2104.14,0,0,0.02,0.67,0,0,5.39,2104.81,Aug-23
52018,Groww,4.74,2911.09,0,0,0,0,0,0,4.74,2911.09,Aug-23
52020,IDFC Bank Apps,4.36,1107.81,0,0,0,0,0,0,4.36,1107.81,Aug-23
52016,Mobikwik,3.96,1203.54,0,0,0,0,0,0,3.96,1203.54,Aug-23
52022,Jupiter,3.94,500.95,0,0,0,0,0,0,3.94,500.95,Aug-23
52048,Standard Chartered Bank Apps,3.31,369.55,0,0,0.28,144.89,0,0,3.59,514.44,Aug-23
52024,Deutsche Bank Apps,2.08,359.84,0,0,0,0.01,0,0,2.08,359.86,Aug-23
52026,Canara Bank Apps,1.64,492.29,0,0,0,0,0,0,1.64,492.29,Aug-23
52029,Jio Payments Bank Apps,1.42,113.65,0,0,0,0,0,0,1.42,113.65,Aug-23
52031,RBL Bank Apps,1.2,540.67,0,0.02,0.19,7.62,0,0,1.38,548.31,Aug-23
52036,Bank of Baroda Apps,1.27,462.61,0,0,0,4.23,0,0,1.27,466.84,Aug-23
52028,slice,0.96,306.89,0,0,0,0,0,0,0.96,306.89,Aug-23
52034,Union Bank Apps,0.9,324.77,0,0,0,0,0,0,0.9,324.77,Aug-23
52032,Punjab National Bank Apps,0.86,179.75,0,0,0,0,0,0,0.86,179.75,Aug-23
52044,IndusInd Bank Apps,0.85,391.31,0,0,0,0,0,0,0.85,391.31,Aug-23
52096,OMNI,0.77,25.2,0,0,0,0,0,0,0.77,25.2,Aug-23
52038,AU Small Finance Bank Apps,0.71,218.16,0,0,0,0,0,0,0.71,218.16,Aug-23
52103,KIWI,0.69,69.86,0,0,0,0,0,0,0.69,69.86,Aug-23
52051,Karnataka Bank Apps,0.65,127.83,0,0,0,0,0,0,0.65,127.83,Aug-23
52040,DBS Digibank Apps,0.46,173.89,0,0,0,0.18,0,0,0.46,174.06,Aug-23
52037,Central Bank of India Apps,0.45,96.12,0,0,0,0.29,0,0,0.45,96.41,Aug-23
52050,UCO Bank Apps,0.38,132.77,0,0,0,0,0,0,0.38,132.77,Aug-23
52030,Indian Bank Apps,0.33,88.52,0,0,0,3.17,0,0,0.33,91.69,Aug-23
52047,Bank of India Apps,0.29,85.09,0,0,0,0,0,0,0.29,85.09,Aug-23
52042,South Indian Bank Apps,0.28,77.42,0,0,0,0,0,0,0.28,77.42,Aug-23
52043,Fino Payments bank Apps,0.21,15.43,0,0,0,0,0,0,0.21,15.43,Aug-23
52045,HSBC Bank Apps,0.17,98.09,0,0.1,0,0,0,0,0.17,98.19,Aug-23
52070,BPAYWALLET,0.15,32.07,0,0,0,0,0,0,0.15,32.07,Aug-23
52082,Fave,0.12,7.54,0,0,0,0,0,0,0.12,7.54,Aug-23
52046,TataNeu,0.1,16.09,0,0,0,0,0,0,0.1,16.09,Aug-23
52055,Tamilnad Mercantile Bank Apps,0.1,25.45,0,0,0,0,0,0,0.1,25.45,Aug-23
52056,Ultracash,0.09,6.17,0,0,0,0,0,0,0.09,6.17,Aug-23
52057,Citi Bank Apps,0.08,58.11,0,0,0,0,0,0,0.08,58.11,Aug-23
52054,Indian Overseas Bank Apps,0.07,19.01,0,0,0,0,0,0,0.07,19.01,Aug-23
52058,City Union Bank Apps,0.07,19.79,0,0,0,0,0,0,0.07,19.79,Aug-23
